Gene	log2FoldChange	time	padj
Tmem98	0.50230806	1HR	0.00340173
Ankrd34a	0.499810496	1HR	8.75722e-05
Fzd7	0.497303728	1HR	0.008107148
Car14	0.489593583	1HR	0.009801393
Clec14a	0.48859857	1HR	0.008784102
Clec2d	0.488580446	1HR	0.009974829
Elovl1	0.487600265	1HR	0.001471437
Opalin	0.480948024	1HR	0.004091905
Evi2a	0.480778953	1HR	0.003091217
Dock5	0.480313567	1HR	0.003498342
Hes5	0.480050598	1HR	0.01273578
Gjc3	0.479571002	1HR	0.001088729
Trf	0.478113859	1HR	0.005868729
Mal	0.472487859	1HR	0.001913574
Frmd4b	0.471232897	1HR	0.002278397
Sema3b	0.465593083	1HR	0.014184055
Gjb1	0.464369661	1HR	0.014331721
Ddn	0.463409203	1HR	0.006350943
Nptx2	0.461452352	1HR	0.018520011
Il33	0.461105747	1HR	0.001180728
Rasal1	0.460938782	1HR	0.011929513
Ppp1r1b	0.457667643	1HR	0.009061522
Nr5a2	0.452006882	1HR	0.022577755
Slain1	0.44802298	1HR	0.000628142
Npy1r	0.447803626	1HR	0.004028416
Litaf	0.447347907	1HR	0.017348325
Bcas1	0.44396131	1HR	0.000463744
Bche	0.443607388	1HR	0.028984496
Daam2	0.440437205	1HR	0.000205584
Sfrp5	0.437860222	1HR	0.002434598
Nipal4	0.437682807	1HR	0.030621516
Slc16a2	0.437601959	1HR	0.00936597
Prdm13	0.436345197	1HR	0.029068283
Plin4	0.436182604	1HR	0.031622098
Ugt8a	0.434304054	1HR	0.000418255
Tmem63a	0.433295829	1HR	0.013611506
Ntng2	0.432819191	1HR	0.035266975
Ube2d1	0.431628677	1HR	0.010042682
Bfsp2	0.429251902	1HR	0.037010103
Rffl	0.429027462	1HR	0.023057565
Slc36a2	0.427791034	1HR	0.031665668
Aspa	0.42735997	1HR	0.019890091
Inf2	0.426895381	1HR	0.006772494
Smco3	0.425790752	1HR	0.031974546
Fxyd1	0.425553706	1HR	0.000217173
Adamts4	0.423885354	1HR	0.022742634
Gm29666	0.422948625	1HR	0.045066892
Fzd10	0.419067201	1HR	0.036166223
Fzd8	0.418631045	1HR	0.018651312
Lama1	0.417750782	1HR	0.047546638
Pmp22	0.416383739	1HR	0.016877406
Gpr50	0.412018789	1HR	0.044744736
Ly86	0.410967482	1HR	0.024024206
Gatm	0.409633898	1HR	0.011054572
Ikzf4	0.408916875	1HR	0.019890091
Tnfrsf11b	0.408367886	1HR	0.043983597
Sept4	0.407543522	1HR	0.002698358
Pthlh	0.407446363	1HR	0.031255329
Tspan2	0.407221863	1HR	0.001875679
Nkx2-2	0.403656418	1HR	0.035266975
Ttyh2	0.402372106	1HR	0.005372844
Zeb2	0.399734952	1HR	0.000564533
Sowaha	0.398810349	1HR	0.019890091
Frzb	0.398147567	1HR	0.033833738
Sertm1	0.397895815	1HR	0.024035434
Efhd1	0.397746769	1HR	0.011456707
Gpr37	0.393271531	1HR	0.005537338
Gpr34	0.392487201	1HR	0.049787274
Doc2b	0.39092462	1HR	0.043307295
Adamtsl4	0.390700166	1HR	0.044222219
Id3	0.390447606	1HR	0.028178204
Peli2	0.388795492	1HR	0.002524796
Dbp	0.386237578	1HR	0.000696568
St6galnac3	0.38515081	1HR	0.035266975
Kctd4	0.383359843	1HR	0.027439144
Etv1	0.381777231	1HR	0.018092434
Plxnb3	0.37982362	1HR	0.02604572
Elovl7	0.378233207	1HR	0.023912747
Desi1	0.377901224	1HR	0.008107148
Lcat	0.377194017	1HR	0.032582932
Sema3c	0.375429166	1HR	0.038222343
Prr18	0.373285173	1HR	0.008311169
Zfp810	0.372097116	1HR	0.036805324
Tet1	0.369740734	1HR	0.006219348
Map7	0.369292093	1HR	0.018092434
Kcnq3	0.368991117	1HR	0.014697218
Klf3	0.367877867	1HR	0.003315261
Slc48a1	0.366229363	1HR	0.006428
Dbndd2	0.364812023	1HR	0.004119679
Car2	0.363592427	1HR	0.007822557
Lhx1	0.363439332	1HR	0.042454044
Sox8	0.36241109	1HR	0.027281556
Csrp1	0.361700728	1HR	0.005073001
Inpp5j	0.357241937	1HR	0.044906938
Pdgfa	0.356737768	1HR	0.010326677
Cdc42ep1	0.355926517	1HR	0.036805324
Zdhhc9	0.348793578	1HR	0.027189293
Slc44a1	0.344715296	1HR	0.015633083
9330151L19Rik	0.343114613	1HR	0.039158528
Ccp110	0.337677841	1HR	0.027189293
Slc29a3	0.335839375	1HR	0.036166223
Plagl1	0.33307836	1HR	0.029007295
Hepacam	0.331009943	1HR	0.004986735
Serinc5	0.330400763	1HR	0.007822557
Rgma	0.325234277	1HR	0.011311997
Phldb1	0.317071159	1HR	0.016470873
Lactb2	0.312984766	1HR	0.034388395
Tmc7	0.312947693	1HR	0.03344909
Nfic	0.311860683	1HR	0.008692642
Per3	0.311536346	1HR	0.039830734
Sirt2	0.305708423	1HR	0.027189293
Gm2a	0.300593628	1HR	0.035032359
