Gene	log2FoldChange	time	padj
Vgf	-0.800059803	1HR	2.14526e-09
Ifrd1	-0.801224552	1HR	1.71986e-16
Srxn1	-0.822930724	1HR	1.90641e-23
Adamts1	-0.829080601	1HR	5.37949e-10
Klf10	-0.841177285	1HR	1.87313e-10
Gadd45b	-0.855641214	1HR	2.41155e-10
Spry4	-0.887072149	1HR	2.33236e-15
Irs2	-0.9119389	1HR	9.00294e-14
Gprc5a	-0.912314968	1HR	3.22815e-14
Pim1	-0.926888688	1HR	1.49331e-11
Sertad1	-0.958587532	1HR	4.41969e-11
Usp36	-0.984514448	1HR	2.27072e-28
Gm13889	-0.98541904	1HR	2.66171e-13
Tinf2	-1.001117646	1HR	7.61544e-17
Atf3	-1.047623626	1HR	3.40815e-13
Serpine1	-1.11779964	1HR	3.25715e-16
Dusp5	-1.234279445	1HR	1.51345e-18
Gpr3	-1.506425629	1HR	2.42773e-28
Homer1	-1.830395443	1HR	1.3465e-106
Prok2	-1.838063411	1HR	4.58635e-42
