Gene	Class
Galr1	hr03
Gamt	hr03
Gatm	hr03
Gch1	hr03
Gem	hr03
Gfod1	hr03
Gfra1	hr03
Gh	hr03
Ghsr	hr03
Gkn3	hr03
Gldc	hr03
Glt8d2	hr03
Gm13889	hr03
Gpr3	hr03
Gprc5a	hr03
Gpsm1	hr03
Grb14	hr03
Grip2	hr03
Grm1	hr03
Gse1	hr03
Gspt2	hr03
Gsta4	hr03
Hba-a1	hr03
Hba-a2	hr03
Hdac4	hr03
Heca	hr03
Hepacam	hr03
Hmga1	hr03
Homer1	hr03
Hpcal1	hr03
Hs3st1	hr03
Hs3st2	hr03
Hspa4	hr03
Hspb8	hr03
Htra1	hr03
Icam5	hr03
Iffo2	hr03
Ifit3	hr03
Ifit3b	hr03
Igfbp5	hr03
Igsf9b	hr03
Il11	hr03
Il33	hr03
Inpp5f	hr03
Irs2	hr03
Ism1	hr03
Itpripl2	hr03
Jun	hr03
Junb	hr03
Jund	hr03
Kcnf1	hr03
Kctd4	hr03
Kctd8	hr03
Klb	hr03
Klf5	hr03
Klf9	hr03
Klhdc8b	hr03
Krcc1	hr03
Lair1	hr03
Ldb2	hr03
Lhx1	hr03
Lhx5	hr03
Lif	hr03
Lmna	hr03
Lrp1b	hr03
Lrrc1	hr03
Lrrc75a	hr03
Lrrc8b	hr03
Lxn	hr03
Ly86	hr03
Maff	hr03
Magt1	hr03
Mal	hr03
Maml3	hr03
Man1b1	hr03
Manf	hr03
Map3k13	hr03
Map3k19	hr03
Mapkapk2	hr03
Mast4	hr03
Mboat1	hr03
Mcl1	hr03
Med14	hr03
Megf10	hr03
Mettl7a1	hr03
Midn	hr03
Mmp14	hr03
Mobp	hr03
Mog	hr03
Mpp2	hr03
Mtcl1	hr03
Mtmr11	hr03
Mtus1	hr03
Mum1	hr03
Myl9	hr03
Naa25	hr03
Nceh1	hr03
Ndp	hr03
Ndst1	hr03
Nectin1	hr03
Nell1	hr03
Nf1	hr03
Nmnat2	hr03
Nms	hr03
Npr1	hr03
Nptx1	hr03
Npy5r	hr03
Npy6r	hr03
Nr2f6	hr03
Nr4a1	hr03
Nr4a3	hr03
Nrep	hr03
Nrp1	hr03
Nudt16	hr03
Nudt9	hr03
Nup93	hr03
Nup98	hr03
Nxph4	hr03
Ociad2	hr03
Ogfr	hr03
Olig2	hr03
Ormdl1	hr03
Otof	hr03
Oxnad1	hr03
Oxtr	hr03
P2ry12	hr03
Pak3	hr03
Pak7	hr03
Pappa	hr03
Pbx1	hr03
Pcdh1	hr03
Pcdhac1	hr03
Pcdhgc5	hr03
Pcgf5	hr03
Pcsk1	hr03
Pde10a	hr03
Pde2a	hr03
Pde4d	hr03
Pde7b	hr03
Pdgfa	hr03
Pdyn	hr03
Pdzd2	hr03
Pdzrn3	hr03
Peak1	hr03
Peg10	hr03
Peg3	hr03
Per1	hr03
Per2	hr03
Per3	hr03
Pgbd5	hr03
Pgm2l1	hr03
Phf21b	hr03
Pik3cb	hr03
Pim1	hr03
Pja1	hr03
Pkib	hr03
Plcd3	hr03
Plch2	hr03
Plek	hr03
Plekho2	hr03
Plk2	hr03
Plk3	hr03
Plp1	hr03
Pmp22	hr03
Pmvk	hr03
Pnrc2	hr03
Polr2a	hr03
Ppp1r17	hr03
Ppp1r1a	hr03
Ppp1r3c	hr03
Pqbp1	hr03
Prdm13	hr03
Prdm5	hr03
Prdx6	hr03
Prex1	hr03
Prkag2	hr03
Prkar1a	hr03
Prmt8	hr03
Prok2	hr03
Pros1	hr03
Prr15	hr03
Prrc2c	hr03
Prrg1	hr03
Prrx1	hr03
Ptbp1	hr03
Ptbp3	hr03
Ptpn23	hr03
Ptpn9	hr03
Ptprn	hr03
Qrfp	hr03
Rad54l2	hr03
Ranbp2	hr03
Rasa2	hr03
Rasal2	hr03
Reps1	hr03
Rfx4	hr03
Rgag4	hr03
Rgma	hr03
Rgs16	hr03
Rhobtb2	hr03
Rhou	hr03
Rnd3	hr03
Rora	hr03
Rorb	hr03
Rps6ka3	hr03
Rrad	hr03
Rtl1	hr03
S1pr1	hr03
Scg2	hr03
Scrt2	hr03
Scube1	hr03
Scyl2	hr03
Sdf2l1	hr03
Sema3e	hr03
Senp2	hr03
Sept4	hr03
Serpinb11	hr03
Serpine1	hr03
Sertm1	hr03
Sfmbt1	hr03
Sfrp4	hr03
Sfrp5	hr03
Sgk1	hr03
Sh2d3c	hr03
Sh3d21	hr03
Sh3rf1	hr03
Shisa2	hr03
Siglech	hr03
Sik1	hr03
Sik2	hr03
Sik3	hr03
Sipa1l2	hr03
Ska3	hr03
Slain1	hr03
Slc12a7	hr03
Slc22a15	hr03
Slc25a25	hr03
Slc25a35	hr03
Slc26a11	hr03
Slc2a13	hr03
Slc2a3	hr03
Slc35g2	hr03
Slc39a14	hr03
Slc3a2	hr03
Slc6a17	hr03
Slc6a3	hr03
Slc7a1	hr03
Slc7a5	hr03
Slco1a4	hr03
Slmo1	hr03
Slx4	hr03
Smco3	hr03
Socs3	hr03
Sowaha	hr03
Sowahb	hr03
Spag4	hr03
Spred2	hr03
Spred3	hr03
Spry4	hr03
Srd5a1	hr03
Srrm4	hr03
Srxn1	hr03
St3gal1	hr03
St8sia6	hr03
Stard13	hr03
Stat3	hr03
Stk40	hr03
Styk1	hr03
Synj2	hr03
Syt13	hr03
Syt17	hr03
Syt4	hr03
Syt6	hr03
Tac1	hr03
Taf1	hr03
Tanc2	hr03
Tbc1d1	hr03
Tbx3	hr03
Tcf12	hr03
Tcf7l1	hr03
Tcf7l2	hr03
Tet1	hr03
Th	hr03
Tinf2	hr03
Tmc7	hr03
Tmeff2	hr03
Tmem200a	hr03
Tmem88b	hr03
Tnfrsf12a	hr03
Tnxb	hr03
Tom1l1	hr03
Tox4	hr03
Tpgs2	hr03
Tpm4	hr03
Traf3ip1	hr03
Traip	hr03
Trem2	hr03
Trip12	hr03
Tro	hr03
Tsc22d3	hr03
Tspan2	hr03
Ttbk1	hr03
Ttbk2	hr03
Ttpal	hr03
Ttyh2	hr03
Tuba4a	hr03
Tubgcp6	hr03
Tuft1	hr03
Tulp4	hr03
Ubash3b	hr03
Ube2d1	hr03
Unc13a	hr03
Usp29	hr03
Usp38	hr03
Usp53	hr03
Vav3	hr03
Vegfc	hr03
Vgf	hr03
Vip	hr03
Vipr2	hr03
Vmac	hr03
Ypel4	hr03
Zbtb21	hr03
Zbtb46	hr03
Zc3h12c	hr03
Zcchc24	hr03
Zdbf2	hr03
Zdhhc5	hr03
Zfp618	hr03
Zfp667	hr03
Zfp750	hr03
Zim1	hr03
Zswim4	hr03
Zswim6	hr03
Zxdc	hr03
Zyx	hr03
1700007K13Rik	hr06
2810459M11Rik	hr06
4930430F08Rik	hr06
6430573F11Rik	hr06
A730046J19Rik	hr06
Aamdc	hr06
Abcc8	hr06
Adamts8	hr06
Adi1	hr06
Aff2	hr06
Aff4	hr06
Ago2	hr06
Ahsa2	hr06
Ak3	hr06
Akr1e1	hr06
Alas2	hr06
Aldh18a1	hr06
Aldh1a1	hr06
Alk	hr06
Aloxe3	hr06
Amotl1	hr06
Angptl2	hr06
Angptl4	hr06
Ankrd34a	hr06
Ankrd40	hr06
Ankrd63	hr06
Anln	hr06
Apln	hr06
Arfgef3	hr06
Arhgap36	hr06
Arhgef40	hr06
Armcx5	hr06
Ascc3	hr06
Aspg	hr06
Astn2	hr06
Atg2b	hr06
Atp8b5	hr06
Avpr1a	hr06
B3gnt5	hr06
Banp	hr06
BC030500	hr06
BC034090	hr06
Bcas1	hr06
Bend3	hr06
Bfsp2	hr06
Bsn	hr06
Btbd9	hr06
C130074G19Rik	hr06
C1ql3	hr06
Cables1	hr06
Cacna1e	hr06
Cacnb3	hr06
Cacng5	hr06
Calb2	hr06
Calcr	hr06
Car2	hr06
Cbarp	hr06
Ccdc141	hr06
Ccdc180	hr06
Ccna1	hr06
Ccnf	hr06
Ccng1	hr06
Cd24a	hr06
Cd38	hr06
Cd44	hr06
Cd59a	hr06
Cdc37l1	hr06
Cdh19	hr06
Cdk19	hr06
Cdkl5	hr06
Cebpzos	hr06
Chga	hr06
Chordc1	hr06
Chrna3	hr06
Ciart	hr06
Cisd3	hr06
Cldn11	hr06
Clec2d	hr06
Clstn3	hr06
Cmklr1	hr06
Cnn1	hr06
Cnn3	hr06
Cobl	hr06
Cobll1	hr06
Col12a1	hr06
Col25a1	hr06
Col5a3	hr06
Cpne2	hr06
Creb3l1	hr06
Crem	hr06
Crot	hr06
Cryab	hr06
Csrp1	hr06
Ctnnd2	hr06
Cwf19l2	hr06
Cxcl12	hr06
Cxcl14	hr06
Cys1	hr06
Daam2	hr06
Dcc	hr06
Dchs1	hr06
Dclk1	hr06
Ddit4	hr06
Ddit4l	hr06
Dennd3	hr06
Dhdh	hr06
Dlk1	hr06
Dnah11	hr06
Dnah6	hr06
Dnajb1	hr06
Dpy19l3	hr06
Dsel	hr06
Dusp1	hr06
Dusp16	hr06
Dusp19	hr06
Dusp4	hr06
Dusp7	hr06
Dzip1l	hr06
Eepd1	hr06
Ehd3	hr06
Ehd4	hr06
Eme2	hr06
Ep400	hr06
Epg5	hr06
Eprs	hr06
Eps15	hr06
Ermn	hr06
Ermp1	hr06
Etnppl	hr06
Etv1	hr06
Eva1a	hr06
Evi2a	hr06
Fa2h	hr06
Fabp7	hr06
Fam107a	hr06
Fam110b	hr06
Fam167a	hr06
Fam212b	hr06
Fam83f	hr06
Fam90a1b	hr06
Fas	hr06
Fat3	hr06
Fbxl21	hr06
Fcgr2b	hr06
Fgd5	hr06
Fgf1	hr06
Fgf2	hr06
Fgfr3	hr06
Fgfrl1	hr06
Fmn1	hr06
Fmo1	hr06
Fmo2	hr06
Fndc9	hr06
Fos	hr06
Fosb	hr06
Fosl1	hr06
Fosl2	hr06
Fras1	hr06
Furin	hr06
Fxyd7	hr06
Fzd3	hr06
Gab2	hr06
Gad1	hr06
Gadd45a	hr06
Gadd45g	hr06
Galr1	hr06
Gamt	hr06
Gatm	hr06
Gch1	hr06
Gdf10	hr06
Gem	hr06
Gfap	hr06
Gfra1	hr06
Gh	hr06
Ghsr	hr06
Gjb6	hr06
Gkn3	hr06
Glipr2	hr06
Glt8d2	hr06
Gm11627	hr06
Gm20594	hr06
Gm29096	hr06
Gmpr	hr06
Gng11	hr06
Gng7	hr06
Gpam	hr06
Gpr101	hr06
Gpr34	hr06
Gpt2	hr06
Grb14	hr06
Grip2	hr06
Grm1	hr06
Grpr	hr06
Gse1	hr06
H3f3b	hr06
Hapln1	hr06
Hba-a1	hr06
Hbb-bt	hr06
Hdac9	hr06
Hepacam	hr06
Hif3a	hr06
Hmga1	hr06
Hr	hr06
Hs6st1	hr06
Hspa1b	hr06
Hspb8	hr06
Icosl	hr06
Id2	hr06
Iffo2	hr06
Ifit1	hr06
Ifit3	hr06
Ifit3b	hr06
Igfbp5	hr06
Il17rb	hr06
Il17rd	hr06
Il33	hr06
Inpp5f	hr06
Iqca	hr06
Iqsec3	hr06
Irf3	hr06
Irgm1	hr06
Itga7	hr06
Itm2a	hr06
Itpk1	hr06
Itpkb	hr06
Junb	hr06
Kcnc2	hr06
Kcnh8	hr06
Kcnn2	hr06
Kcnq3	hr06
Kctd4	hr06
Kctd8	hr06
Klb	hr06
Klf15	hr06
Klf5	hr06
Klf9	hr06
Lama3	hr06
Lamp5	hr06
Lgi2	hr06
Lgi4	hr06
Lhx1	hr06
Lif	hr06
Lmna	hr06
Lrrc1	hr06
Lrtm2	hr06
Ltbr	hr06
Lxn	hr06
Ly86	hr06
Maged1	hr06
Magt1	hr06
Mal	hr06
Manf	hr06
Map2k6	hr06
Map7	hr06
Mast4	hr06
Mbp	hr06
Med14	hr06
Megf10	hr06
Mertk	hr06
Mettl7a1	hr06
Mfsd2a	hr06
Micall2	hr06
Midn	hr06
Mmp14	hr06
Mobp	hr06
Mog	hr06
Morn3	hr06
Msn	hr06
Mt2	hr06
Mtcl1	hr06
Mtmr11	hr06
Mxi1	hr06
Nceh1	hr06
Ndp	hr06
Ndst1	hr06
Necab2	hr06
Nectin1	hr06
Nek6	hr06
Neu4	hr06
Nf1	hr06
Nipal4	hr06
Nkain2	hr06
Nkd1	hr06
Nmnat2	hr06
Nms	hr06
Npbwr1	hr06
Npr1	hr06
Nptx1	hr06
Nptx2	hr06
Nr1d1	hr06
Nr4a3	hr06
Nrep	hr06
Nrip3	hr06
Nrp1	hr06
Nrxn3	hr06
Ntsr1	hr06
Nup214	hr06
Ociad2	hr06
Odc1	hr06
Olig2	hr06
Osmr	hr06
P2ry12	hr06
Padi2	hr06
Pak3	hr06
Pam	hr06
Pbxip1	hr06
Pcdh1	hr06
Pcdhga7	hr06
Pcdhgc3	hr06
Pcdhgc5	hr06
Pcsk1	hr06
Pde2a	hr06
Pde4d	hr06
Pde7b	hr06
Pdgfa	hr06
Pdgfd	hr06
Pdlim4	hr06
Pdzd2	hr06
Peg10	hr06
Per1	hr06
Per2	hr06
Per3	hr06
Pgm2l1	hr06
Phf21b	hr06
Pik3cb	hr06
Pip4k2a	hr06
Pitpnm2	hr06
Pkib	hr06
Pla2g16	hr06
Plat	hr06
Plcd3	hr06
Plcd4	hr06
Plch2	hr06
Plekho2	hr06
Plin3	hr06
Plin4	hr06
Plk3	hr06
Plp1	hr06
Plxnc1	hr06
Plxnd1	hr06
Pmp22	hr06
Pnrc2	hr06
Polr2a	hr06
Ppm1h	hr06
Ppp1r13b	hr06
Ppp1r17	hr06
Ppp1r1a	hr06
Ppp1r3c	hr06
Prdx6	hr06
Prep	hr06
Prex1	hr06
Prkaa2	hr06
Prkar1a	hr06
Prkcz	hr06
Prkg2	hr06
Prmt8	hr06
Proca1	hr06
Prok2	hr06
Pros1	hr06
Prpf8	hr06
Prr18	hr06
Prrc2b	hr06
Prrx1	hr06
Ptch1	hr06
Ptn	hr06
Ptprn	hr06
Qrfp	hr06
Rab39	hr06
Rab3gap1	hr06
Rab40b	hr06
Rasa2	hr06
Rasa3	hr06
Rasgrp3	hr06
Rasl11b	hr06
Rbpms2	hr06
Ret	hr06
Rgag4	hr06
Rgs16	hr06
Rgs2	hr06
Rgs20	hr06
Rgs7bp	hr06
Rhog	hr06
Rida	hr06
Rin2	hr06
Rora	hr06
Rps11	hr06
Rps6ka1	hr06
Rrad	hr06
Rtl1	hr06
S100a10	hr06
S100b	hr06
S1pr1	hr06
S1pr3	hr06
Samd1	hr06
Samd9l	hr06
Sash1	hr06
Sbno2	hr06
Scg2	hr06
Scn1b	hr06
Sdc4	hr06
Sdf2l1	hr06
Sdk2	hr06
Sema3e	hr06
Sema5b	hr06
Sepp1	hr06
Sept4	hr06
Sept9	hr06
Serpina3n	hr06
Serpinb11	hr06
Serpine1	hr06
Sertm1	hr06
Sfrp5	hr06
Sfxn4	hr06
Sgk1	hr06
Sh2d4b	hr06
Sh2d5	hr06
Sh3bgrl	hr06
Sh3d21	hr06
Sik1	hr06
Slc12a7	hr06
Slc14a1	hr06
Slc1a4	hr06
Slc20a2	hr06
Slc22a15	hr06
Slc25a34	hr06
Slc2a13	hr06
Slc35g2	hr06
Slc38a11	hr06
Slc39a14	hr06
Slc6a17	hr06
Slc6a3	hr06
Slc7a1	hr06
Slc7a14	hr06
Slc8a1	hr06
Smco3	hr06
Smcr8	hr06
Snap23	hr06
Snrnp200	hr06
Socs3	hr06
Sord	hr06
Sorl1	hr06
Sowaha	hr06
Spred3	hr06
Spry4	hr06
Srd5a1	hr06
Srrm4	hr06
Srxn1	hr06
St3gal1	hr06
St3gal4	hr06
St8sia6	hr06
Stat3	hr06
Steap3	hr06
Stk40	hr06
Styk1	hr06
Swt1	hr06
Synj2	hr06
Syt13	hr06
Syt17	hr06
Syt4	hr06
Tac1	hr06
Taf1	hr06
Tanc2	hr06
Tef	hr06
Tenm3	hr06
Tgfb3	hr06
Th	hr06
Thbs2	hr06
Timp1	hr06
Tinf2	hr06
Tle4	hr06
Tmc7	hr06
Tmcc1	hr06
Tmem100	hr06
Tmem243	hr06
Tmem51	hr06
Tmtc4	hr06
Tnfaip6	hr06
Tnfrsf1a	hr06
Tnik	hr06
Tns3	hr06
Tnxb	hr06
Tom1l1	hr06
Tpgs2	hr06
Traf3ip1	hr06
Traip	hr06
Trem2	hr06
Trim59	hr06
Trim62	hr06
Trip12	hr06
Tro	hr06
Trpc5	hr06
Tsc22d3	hr06
Tspan2	hr06
Ttbk2	hr06
Ttc39b	hr06
Ttll3	hr06
Tuba4a	hr06
Tuft1	hr06
Tulp4	hr06
Ube2d1	hr06
Ube2ql1	hr06
Ubr3	hr06
Unc13a	hr06
Urb1	hr06
Usp29	hr06
Uts2	hr06
Vegfc	hr06
Vgf	hr06
Vip	hr06
Wdr1	hr06
Wdr63	hr06
Wee1	hr06
Wipf3	hr06
Wnk3	hr06
Wwtr1	hr06
Xaf1	hr06
Zbtb16	hr06
Zbtb40	hr06
Zcchc14	hr06
Zdbf2	hr06
Zfp619	hr06
Zfp750	hr06
Zmynd12	hr06
Zswim4	hr06
