Gene	log2FoldChange	time	padj
Hpcal1	-0.434591963	3HR	0.020414443
Aff4	-0.435848386	3HR	0.000161773
Grip2	-0.436301455	3HR	0.004464749
Mast4	-0.436377449	3HR	0.010561106
Pcgf5	-0.437239021	3HR	0.004590169
Usp29	-0.438399468	3HR	0.008957651
Tmem200a	-0.439449894	3HR	0.007972366
Reps1	-0.440762687	3HR	0.000173671
Eps8l1	-0.441065194	3HR	0.034733261
Cobl	-0.445014684	3HR	2.30794e-06
Ttbk1	-0.449835562	3HR	0.000238758
Ago2	-0.451629988	3HR	0.00109124
Mmp14	-0.451747977	3HR	0.008494535
Il11	-0.451985269	3HR	0.004085043
BC030500	-0.452875902	3HR	0.002437974
Pcdh1	-0.452955617	3HR	1.85333e-05
Slc39a14	-0.455765572	3HR	8.14517e-05
Rasa2	-0.456084218	3HR	2.28643e-05
Megf10	-0.456254955	3HR	0.00265411
Sik3	-0.45670924	3HR	1.13499e-06
Aloxe3	-0.457948954	3HR	0.008718743
Pde7b	-0.460469106	3HR	4.49994e-05
Sik2	-0.460819968	3HR	0.000927334
Kctd8	-0.462526992	3HR	0.003388234
Asic4	-0.463985124	3HR	0.041196775
Atp2b1	-0.464916653	3HR	0.000927334
Acsl4	-0.464987319	3HR	0.005610612
Sh2d3c	-0.466823271	3HR	0.001160818
Gch1	-0.471859721	3HR	0.017675194
Lhx5	-0.472839524	3HR	0.035384752
Fem1b	-0.473426601	3HR	0.005610612
Heca	-0.477236201	3HR	9.58263e-05
Ubash3b	-0.479414889	3HR	0.000161773
Flt3	-0.481632835	3HR	0.001476939
Map3k13	-0.481675163	3HR	0.001195447
Hdac4	-0.485763948	3HR	0.00527434
Otof	-0.486126463	3HR	0.005289882
Igsf9b	-0.488388518	3HR	0.002226767
Cers6	-0.488649106	3HR	1.02848e-05
Unc13a	-0.490715597	3HR	1.20457e-07
Senp2	-0.492085561	3HR	1.34179e-06
Pik3cb	-0.494193093	3HR	2.21513e-05
Rorb	-0.495134179	3HR	0.021241631
C1ql2	-0.495775732	3HR	0.010419794
Zswim6	-0.497897096	3HR	0.000238758
Dcc	-0.498636303	3HR	0.01001497
Hmga1	-0.498725888	3HR	0.00525471
Pgm2l1	-0.500292207	3HR	1.30584e-05
Fam90a1b	-0.501129617	3HR	0.016312588
Kcnf1	-0.501160698	3HR	0.001112807
Spred2	-0.501641519	3HR	1.02955e-06
Sowahb	-0.514211382	3HR	0.012022556
Gad1	-0.51421936	3HR	4.67556e-11
Slc12a7	-0.523663551	3HR	9.50527e-06
Adarb2	-0.525294042	3HR	0.001301189
Socs3	-0.529011551	3HR	0.010675457
Serpinb11	-0.530409316	3HR	0.004015114
Prex1	-0.533783887	3HR	5.34916e-07
Scube1	-0.536120073	3HR	0.009825916
Klf5	-0.536634611	3HR	0.000387689
Nmnat2	-0.537974054	3HR	0.000400867
Foxn4	-0.538287641	3HR	0.006262878
Fmn1	-0.538360808	3HR	0.002306197
Aff1	-0.539332931	3HR	1.1523e-05
Hs3st2	-0.540152066	3HR	0.007862874
Btbd9	-0.540213818	3HR	3.91098e-05
Th	-0.542662925	3HR	0.000408474
Tuft1	-0.551457886	3HR	0.004078849
Asphd1	-0.55321788	3HR	0.001470899
Ell2	-0.554876065	3HR	1.45679e-05
Tulp4	-0.555943895	3HR	4.51957e-07
Nxph4	-0.556019945	3HR	0.00674773
Shisa2	-0.559401933	3HR	0.001606806
Npr1	-0.56228887	3HR	0.004692698
Ehd3	-0.569541896	3HR	3.28575e-09
2900026A02Rik	-0.571342777	3HR	4.47399e-05
Syt13	-0.580902162	3HR	3.01705e-10
Nectin1	-0.584804132	3HR	0.000234554
Med14	-0.594345731	3HR	7.63452e-11
Slc6a17	-0.602756917	3HR	2.28334e-14
Tnxb	-0.602863122	3HR	0.002226767
Pcdhgc5	-0.607621733	3HR	0.000182387
Sfrp4	-0.613513984	3HR	0.00143355
Mtcl1	-0.621723824	3HR	1.74805e-07
Pappa	-0.625801286	3HR	0.001135652
Baiap2	-0.628999145	3HR	6.30865e-11
Scrt2	-0.631355128	3HR	0.000257073
Dclk1	-0.635109273	3HR	1.4804e-12
St3gal1	-0.64025031	3HR	6.91422e-07
Ism1	-0.64050014	3HR	0.000612288
Galr1	-0.655364756	3HR	0.000417776
A730046J19Rik	-0.660440529	3HR	0.000401773
Pdzrn3	-0.670767502	3HR	0.00018657
Dio2	-0.695099562	3HR	2.1856e-05
Lif	-0.720684194	3HR	6.63928e-05
Spred3	-0.726836723	3HR	3.32006e-10
Slc2a13	-0.751383588	3HR	1.10606e-20
Rfx4	-0.807855355	3HR	7.73389e-16
Pros1	-0.820475005	3HR	3.52191e-14
Bach2	-0.866574522	3HR	8.46367e-10
Styk1	-0.878740345	3HR	6.50878e-08
St8sia6	-0.889723485	3HR	2.3234e-20
Cmklr1	-0.903054885	3HR	5.05722e-08
Gh	-0.926821592	3HR	3.65071e-12
Klb	-0.961803436	3HR	9.38253e-09
Ccnf	-0.964432356	3HR	3.23471e-09
Srrm4	-0.974473678	3HR	7.41267e-26
Pde10a	-1.098421211	3HR	1.60756e-35
Sema3e	-1.100000209	3HR	3.37902e-21
Sh3d21	-1.169318394	3HR	3.40651e-15
Fbxl21	-1.255463384	3HR	2.62189e-33
Zfp750	-1.447290182	3HR	1.37951e-23
Cnn1	-2.006087222	3HR	3.11993e-39
