Gene	Class
Tbc1d16	5_UTR
Olfr957	5_UTR
Cdk13	5_UTR
Pcnx4	5_UTR
Prdm10	5_UTR
Ccdc8	5_UTR
Dhrs9	5_UTR
Slc1a6	5_UTR
Lpin2	5_UTR
3830406C13Rik	5_UTR
Olfr33	5_UTR
Capg	5_UTR
Pcgf5	5_UTR
Cacna1e	5_UTR
Il31ra	5_UTR
Gm30214	5_UTR
Pak3	5_UTR
Susd1	5_UTR
Ezh2	DistalIntergenic
Mir670	DistalIntergenic
Gphn	DistalIntergenic
Cntnap5a	DistalIntergenic
Snrpn	DistalIntergenic
Tmc3	DistalIntergenic
BB123696	DistalIntergenic
A830019L24Rik	DistalIntergenic
Gm15326	DistalIntergenic
Mrpl42	DistalIntergenic
Tmem230	DistalIntergenic
Cdh6	DistalIntergenic
Hs3st1	DistalIntergenic
Rgs13	DistalIntergenic
4930515G16Rik	DistalIntergenic
Ghitm	DistalIntergenic
Gm29461	DistalIntergenic
Asprv1	DistalIntergenic
Dip2c	DistalIntergenic
Sstr4	DistalIntergenic
Pcdh20	DistalIntergenic
Arl4d	DistalIntergenic
Dhx40	DistalIntergenic
Spred2	DistalIntergenic
Gm8096	DistalIntergenic
Gm13375	DistalIntergenic
Olfm1	DistalIntergenic
Tmx4	DistalIntergenic
Trp63	DistalIntergenic
Cdkn2aip	DistalIntergenic
Bach2	DistalIntergenic
Cd47	DistalIntergenic
Mtpn	DistalIntergenic
Dusp19	DistalIntergenic
Tas2r126	DistalIntergenic
Klf9	DistalIntergenic
Gm10845	DistalIntergenic
4930553E22Rik	DistalIntergenic
Plekhb2	DistalIntergenic
1700054K19Rik	DistalIntergenic
Cipc	DistalIntergenic
Prima1	DistalIntergenic
Lrrc4c	DistalIntergenic
Chd6	DistalIntergenic
Atp10a	DistalIntergenic
Mir6349	DistalIntergenic
D030045P18Rik	DistalIntergenic
Col1a2	DistalIntergenic
Hook2	DistalIntergenic
Agtr1b	DistalIntergenic
Smpd1	DistalIntergenic
Ufl1	DistalIntergenic
Rbm24	DistalIntergenic
Akt3	DistalIntergenic
1810026B05Rik	DistalIntergenic
Kcns2	DistalIntergenic
AU023762	DistalIntergenic
1810062G17Rik	DistalIntergenic
Celf4	DistalIntergenic
A830029E22Rik	DistalIntergenic
Chchd3	DistalIntergenic
Cul3	DistalIntergenic
2010300C02Rik	DistalIntergenic
St8sia5	DistalIntergenic
Gm5086	DistalIntergenic
Eef1a1	DistalIntergenic
C030007H22Rik	DistalIntergenic
Cntn3	DistalIntergenic
Csmd1	DistalIntergenic
Olfr272	DistalIntergenic
Mis18a	DistalIntergenic
Grm7	DistalIntergenic
E130119H09Rik	DistalIntergenic
Gm38397	DistalIntergenic
Amph	DistalIntergenic
Gm19589	DistalIntergenic
Ch25h	DistalIntergenic
Mir680-3	DistalIntergenic
1700024I08Rik	DistalIntergenic
Gpr65	DistalIntergenic
Kcnv1	DistalIntergenic
Nectin1	DistalIntergenic
Trim27	DistalIntergenic
Slc1a3	DistalIntergenic
Adcyap1	DistalIntergenic
Csnk2a2	DistalIntergenic
Gm20755	DistalIntergenic
Kirrel3	DistalIntergenic
Clec10a	DistalIntergenic
Fbxo33	DistalIntergenic
Mmp16	DistalIntergenic
Zdhhc17	DistalIntergenic
9130227L01Rik	DistalIntergenic
Pdk1	DistalIntergenic
Klhl2	DistalIntergenic
Celf2	DistalIntergenic
Smkr-ps	DistalIntergenic
Olfm4	DistalIntergenic
Mir8118	DistalIntergenic
9230102K24Rik	DistalIntergenic
Tmprss13	DistalIntergenic
Sh3rf3	DistalIntergenic
Tunar	DistalIntergenic
Hmga2	DistalIntergenic
Diras2	DistalIntergenic
Thsd7b	DistalIntergenic
Nfatc2	DistalIntergenic
Slco6d1	DistalIntergenic
Sestd1	DistalIntergenic
Cdk5rap2	DistalIntergenic
Tenm4	DistalIntergenic
Man1a2	DistalIntergenic
Fam135b	DistalIntergenic
Adarb1	DistalIntergenic
Gm1720	DistalIntergenic
Cemip2	DistalIntergenic
Nup35	DistalIntergenic
BC006965	DistalIntergenic
1700057H15Rik	DistalIntergenic
Med27	DistalIntergenic
Pck1	DistalIntergenic
Btg2	DistalIntergenic
Triqk	DistalIntergenic
Gm833	DistalIntergenic
Gm5441	DistalIntergenic
Slc16a7	DistalIntergenic
Rapgef5	DistalIntergenic
Irf2bpl	DistalIntergenic
Tafa5	DistalIntergenic
Fam49a	DistalIntergenic
Ankrd55	DistalIntergenic
Ccna1	DistalIntergenic
Plekhs1	DistalIntergenic
Gm11981	DistalIntergenic
Fxyd2	DistalIntergenic
4930572O13Rik	DistalIntergenic
Dpt	DistalIntergenic
Hnrnpu	DistalIntergenic
Tmem161b	DistalIntergenic
Noct	DistalIntergenic
Slc35c1	DistalIntergenic
1700123M08Rik	DistalIntergenic
Cox7b2	DistalIntergenic
Large1	DistalIntergenic
Lyzl4os	DistalIntergenic
Plxdc2	DistalIntergenic
Mir8120	DistalIntergenic
Gm12911	DistalIntergenic
Tex44	DistalIntergenic
5031425F14Rik	DistalIntergenic
Gm19782	DistalIntergenic
Gm26633	DistalIntergenic
Tex36	DistalIntergenic
Bmp2	DistalIntergenic
Exph5	DistalIntergenic
Car10	DistalIntergenic
Man1a	DistalIntergenic
Smim41	DistalIntergenic
Lca5	DistalIntergenic
Ppp3ca	DistalIntergenic
Ppm1f	DistalIntergenic
Tmsb10	DistalIntergenic
Kcnma1	DistalIntergenic
Myom2	DistalIntergenic
Alpl	DistalIntergenic
Npy1r	DistalIntergenic
Pdia6	DistalIntergenic
Cth	DistalIntergenic
Snap25	DistalIntergenic
2210010C04Rik	DistalIntergenic
1700065J11Rik	DistalIntergenic
Amer3	DistalIntergenic
Gm5420	DistalIntergenic
Gm11413	DistalIntergenic
Mapk4	DistalIntergenic
Gm13889	DistalIntergenic
Twist2	DistalIntergenic
Mir6366	DistalIntergenic
Gm4719	DistalIntergenic
Rnaseh2b	DistalIntergenic
Ccdc172	DistalIntergenic
Il1b	DistalIntergenic
Spn-ps	DistalIntergenic
Pla2g4a	DistalIntergenic
Prkd1	DistalIntergenic
Pcgf5	DistalIntergenic
Elmo1	DistalIntergenic
Pard3	DistalIntergenic
Trpm3	DistalIntergenic
Vstm2l	DistalIntergenic
Robo2	DistalIntergenic
4930517M08Rik	DistalIntergenic
Ndufb4	DistalIntergenic
Fam13c	DistalIntergenic
Rmi1	DistalIntergenic
5031439G07Rik	DistalIntergenic
Gabpa	DistalIntergenic
Mir6395	DistalIntergenic
Kcnj3	DistalIntergenic
Rims1	DistalIntergenic
Cenpc1	DistalIntergenic
9530026F06Rik	DistalIntergenic
1810013L24Rik	DistalIntergenic
Plxnc1	DistalIntergenic
1700017G19Rik	DistalIntergenic
Bdnf	DistalIntergenic
Gm36480	DistalIntergenic
Sem1	DistalIntergenic
Gm6249	DistalIntergenic
Ptbp2	DistalIntergenic
Caap1	DistalIntergenic
Gtf3c3	DistalIntergenic
Dclre1a	DistalIntergenic
Acvr2a	DistalIntergenic
Spaca1	DistalIntergenic
Zc3h12c	DistalIntergenic
Rsl24d1	DistalIntergenic
Dctn1	DistalIntergenic
8430436N08Rik	DistalIntergenic
Gm35725	DistalIntergenic
Ndufb3	DistalIntergenic
Jag1	DistalIntergenic
A330009N23Rik	DistalIntergenic
Scn11a	DistalIntergenic
Lyrm9	DistalIntergenic
Trmt9b	DistalIntergenic
Gm15679	DistalIntergenic
Akirin2	DistalIntergenic
Kitl	DistalIntergenic
AI593442	DistalIntergenic
Hdac4	DistalIntergenic
Armc2	DistalIntergenic
Ipo11	DistalIntergenic
Rplp1	DistalIntergenic
Rnft1	DistalIntergenic
Cysltr2	DistalIntergenic
Lipg	DistalIntergenic
Mageb4	DistalIntergenic
Micalcl	DistalIntergenic
Camk2d	DistalIntergenic
Kcnj2	DistalIntergenic
Atxn1	DistalIntergenic
Nedd4l	DistalIntergenic
Kcna4	DistalIntergenic
Wnt2	DistalIntergenic
4931408C20Rik	DistalIntergenic
Gk2	DistalIntergenic
1700084F23Rik	DistalIntergenic
Csnk1d	DistalIntergenic
Hivep2	DistalIntergenic
Nav3	DistalIntergenic
Armc3	DistalIntergenic
Cables1	DistalIntergenic
Zfp532	DistalIntergenic
Gm1140	DistalIntergenic
Gm6634	DistalIntergenic
Scg2	DistalIntergenic
Tcerg1l	DistalIntergenic
Ube2e3	DistalIntergenic
Emp1	DistalIntergenic
Abi3bp	DistalIntergenic
Scgn	DistalIntergenic
Isl1	DistalIntergenic
Gm3279	DistalIntergenic
Pfkp	DistalIntergenic
Arid1b	DistalIntergenic
Tyrobp	DistalIntergenic
Gm4710	DistalIntergenic
Drc1	DistalIntergenic
Klf12	DistalIntergenic
Nanog	DistalIntergenic
Has2	DistalIntergenic
Spata19	DistalIntergenic
Tbc1d9	DistalIntergenic
Luzp2	DistalIntergenic
Prxl2a	DistalIntergenic
Mirlet7a-1	DistalIntergenic
Kcnmb2	DistalIntergenic
Bpifb9a	DistalIntergenic
Epm2aip1	DistalIntergenic
Nwd2	DistalIntergenic
4921525O09Rik	DistalIntergenic
1700049L16Rik	DistalIntergenic
Tbr1	DistalIntergenic
Fos	DistalIntergenic
Gm20319	DistalIntergenic
4930503O07Rik	DistalIntergenic
Myo3a	DistalIntergenic
D630013N20Rik	DistalIntergenic
Far1	DistalIntergenic
4930474N09Rik	DistalIntergenic
Npsr1	DistalIntergenic
Nxpe4	DistalIntergenic
Gm7160	DistalIntergenic
Ccdc121	DistalIntergenic
Ociad2	DistalIntergenic
4930434J06Rik	DistalIntergenic
Uri1	DistalIntergenic
Frmd6	DistalIntergenic
Nuf2	DistalIntergenic
Plk2	DistalIntergenic
Pdzrn3	DistalIntergenic
Tmem114	DistalIntergenic
Tcim	DistalIntergenic
Tars	DistalIntergenic
Mmgt2	DistalIntergenic
Nectin3	DistalIntergenic
Naa11	DistalIntergenic
Nr1d2	DistalIntergenic
Gm5083	DistalIntergenic
Cavin3	DistalIntergenic
Npas4	DistalIntergenic
Zfp131	DistalIntergenic
Basp1	DistalIntergenic
Clnk	DistalIntergenic
1700128A07Rik	DistalIntergenic
Adgrg5	DistalIntergenic
B3gat1	DistalIntergenic
Lilrb4a	DistalIntergenic
4930526H09Rik	DistalIntergenic
Pde1a	DistalIntergenic
Mir6951	DistalIntergenic
Casp12	DistalIntergenic
Msl3l2	DistalIntergenic
Otor	DistalIntergenic
Gm11468	DistalIntergenic
Slc26a4	DistalIntergenic
Tinag	DistalIntergenic
Ftmt	DistalIntergenic
Car8	DistalIntergenic
Sec14l1	DistalIntergenic
1700016G22Rik	DistalIntergenic
Palmd	DistalIntergenic
A530058N18Rik	DistalIntergenic
Aco1	DistalIntergenic
Tmx1	DistalIntergenic
Trpm1	DistalIntergenic
Gm6639	DistalIntergenic
Mir7j	DistalIntergenic
Lrrc8c	DistalIntergenic
Mir6414	DistalIntergenic
Zwint	DistalIntergenic
Adgb	DistalIntergenic
Fndc3b	DistalIntergenic
Plppr4	DistalIntergenic
Btbd3	DistalIntergenic
Dync2h1	DistalIntergenic
Rab28	DistalIntergenic
Adcy1	DistalIntergenic
Rtn4	DistalIntergenic
A630001O12Rik	DistalIntergenic
Plekhh2	DistalIntergenic
Fat3	DistalIntergenic
Tyw5	DistalIntergenic
Aym1	DistalIntergenic
Pou6f2	DistalIntergenic
Frmd4a	DistalIntergenic
Psd2	DistalIntergenic
Mir3961	DistalIntergenic
Ccnh	DistalIntergenic
Pde4d	DistalIntergenic
Fat4	DistalIntergenic
Kcnh7	DistalIntergenic
Gprc5d	DistalIntergenic
Ttc8	DistalIntergenic
Rtp4	DistalIntergenic
4930431P22Rik	DistalIntergenic
Gm13497	DistalIntergenic
Phkb	DistalIntergenic
Kif16bos	DistalIntergenic
Gsap	DistalIntergenic
Tbc1d5	DistalIntergenic
Efna5	DistalIntergenic
Ptgs2os2	DistalIntergenic
Sept11	DistalIntergenic
5430403N17Rik	DistalIntergenic
Dtwd2	DistalIntergenic
4930519H02Rik	DistalIntergenic
Ica1	DistalIntergenic
Mir7232	DistalIntergenic
Lmtk2	DistalIntergenic
Gm38407	DistalIntergenic
Mir6390	DistalIntergenic
Qk	DistalIntergenic
Rlbp1	DistalIntergenic
Wdr11	DistalIntergenic
Ankrd33b	DistalIntergenic
Edem1	DistalIntergenic
Dact2	DistalIntergenic
Pum3	DistalIntergenic
Epha3	DistalIntergenic
Gm26685	DistalIntergenic
4930505A04Rik	DistalIntergenic
Hivep1	DistalIntergenic
Kctd16	DistalIntergenic
Zfp365	DistalIntergenic
Slc22a8	DistalIntergenic
1700061I17Rik	DistalIntergenic
Snord12	DistalIntergenic
Aebp2	DistalIntergenic
Dusp6	DistalIntergenic
Efr3a	DistalIntergenic
Dipk2a	DistalIntergenic
Ctla4	DistalIntergenic
Raly	DistalIntergenic
Hspa4	DistalIntergenic
Gm15972	DistalIntergenic
Pik3c3	DistalIntergenic
Tox3	DistalIntergenic
4930519L02Rik	DistalIntergenic
Sema6d	DistalIntergenic
Kif16b	DistalIntergenic
Mia2	DistalIntergenic
Trim9	DistalIntergenic
4931429L15Rik	DistalIntergenic
Ppp6c	DistalIntergenic
Spock1	DistalIntergenic
Emsy	DistalIntergenic
Api5	DistalIntergenic
Fam3c	DistalIntergenic
Nova1	DistalIntergenic
1700008C04Rik	DistalIntergenic
Kcnc2	DistalIntergenic
Tmprss15	DistalIntergenic
Slitrk5	DistalIntergenic
Sipa1l2	DistalIntergenic
Olfr521	DistalIntergenic
Chl1	DistalIntergenic
Galc	DistalIntergenic
Pdzrn4	DistalIntergenic
Acmsd	DistalIntergenic
Mrpl1	DistalIntergenic
Pabpc6	DistalIntergenic
Adrb1	DistalIntergenic
Acot10	DistalIntergenic
Gm41341	DistalIntergenic
Fam161a	DistalIntergenic
Syt4	DistalIntergenic
Gm20125	DistalIntergenic
Slc7a11	DistalIntergenic
AY512915	DistalIntergenic
Lratd1	DistalIntergenic
Hoxc4	DistalIntergenic
Opcml	DistalIntergenic
Mapk1	DistalIntergenic
Gdf10	DistalIntergenic
Prr16	DistalIntergenic
Zfp608	DistalIntergenic
4930520P13Rik	DistalIntergenic
Zfp770	DistalIntergenic
Gm6313	DistalIntergenic
Chordc1	DistalIntergenic
Arhgap32	DistalIntergenic
Nab1	DistalIntergenic
B230303A05Rik	DistalIntergenic
St8sia2	DistalIntergenic
Cnnm1	DistalIntergenic
Pthlh	DistalIntergenic
Myh15	DistalIntergenic
Snx16	DistalIntergenic
Ptgfrn	DistalIntergenic
Gm17746	DistalIntergenic
Allc	DistalIntergenic
D630024D03Rik	DistalIntergenic
Map3k7cl	DistalIntergenic
Mir6417	DistalIntergenic
Dad1	DistalIntergenic
4930529K09Rik	DistalIntergenic
Sema4d	DistalIntergenic
Fam170a	DistalIntergenic
Irf2bp2	DistalIntergenic
Anxa5	DistalIntergenic
Adgrl2	DistalIntergenic
Mettl15	DistalIntergenic
Sox17	DistalIntergenic
A530072M11Rik	DistalIntergenic
Gm33301	DistalIntergenic
Poteg	DistalIntergenic
Gm12669	DistalIntergenic
Fam189a2	DistalIntergenic
4930433B08Rik	DistalIntergenic
Ypel5	DistalIntergenic
Mir155hg	DistalIntergenic
Rab3gap2	DistalIntergenic
Gm32200	DistalIntergenic
